,Date,Volume,Adj Close,Label,DJIA_news_sentiment,Top1,Top2,Top3,Top4,Top5,Top6,Top7,Top8,Top9,Top10,Top11,Top12,Top13,Top14,Top15,Top16,Top17,Top18,Top19,Top20,Top21,Top22,Top23,Top24,Top25
1968,2008-09-08,273000000,11510.740234,1,-0.2064118340232481,-0.40160846960629,-0.316773241039932,0.03135237643863993,-0.49717416750278703,-0.39379028601863103,-0.41230142995313546,-0.3742180408440191,-0.37938890599617775,0.0,-0.5936600783475785,-0.47658385014985,0.4680506037305422,-0.3145575473104794,-0.42636314058004576,-0.11603556358406088,0.0,0.0,-0.03816409392419175,0.0,-0.08253819057626838,0.0,0.04015788025145816,-0.4761441452991452,-0.4005555602692502,0.0
1967,2008-09-09,257300000,11230.730469,0,-0.20792824328762008,-0.43068739646927146,0.0,-0.5912723212545359,0.0,0.27418703457528043,0.34600336788382713,0.0,0.0,-0.4648172342056091,-0.4104103599178281,-0.4636748825383553,-0.298257363510282,-0.038250798824364045,-0.20010229782294997,-0.4819830522562445,-0.5757434368101035,-0.6474958442915779,-0.5120351729440715,-0.3770408666655406,0.0,0.0,0.0,-0.32662545713887564,0.0,0.0
1966,2008-09-10,214260000,11268.919922,1,-0.17254075050283002,-0.387911017506849,-0.47407414473962034,-0.4287397972725579,-0.263900726225767,-0.3605419216571948,0.0,-0.393669025083612,0.0,-0.31872770145856555,0.0,-0.42583259869700596,-0.5150438718763121,-0.19749619007202399,0.0,0.0,0.21627111603136814,0.0,-0.358845319106618,0.2793212053782803,-0.2444409451138602,0.0,0.21315027878829368,-0.22755638870589961,-0.425481715252806,0.0
1965,2008-09-11,247820000,11433.709961,1,-0.10202218206072029,0.13682982018132836,-0.38415351414108395,0.0,-0.17858277517327573,-0.4961544662933685,-0.34429587072649576,-0.4493009590210728,0.0,0.0,0.0,0.0,-0.27623721483013375,0.06047828641768859,-0.2414657565695996,0.0,0.0,0.08188038554885237,0.0,0.0,-0.19865936568845002,-0.29959605480756424,-0.07779652055941912,0.0,0.1164994541445873,0.0
1964,2008-09-12,238890000,11421.990234,0,-0.12167596174946237,0.0,0.0,-0.3180964289741056,-0.0848377608311229,-0.40806085695785693,-0.2391464695328826,-0.0363607239309222,0.17967617435866648,-0.23382605303338633,-0.2961605205092577,0.354489441811224,-0.0426684696342305,-0.24348958175009136,-0.2706295606374302,0.056171360799828186,-0.5903878571428572,-0.1994514921310573,-0.24932710212492823,-0.4663778632481648,0.0,0.0,0.0,0.018871709563106114,-0.06376527541024461,0.09147828557915516
1963,2008-09-15,432970000,10917.509766,0,-0.15687810453761372,-0.24160585938908538,-0.3587990366372758,0.0,-0.3434799241733667,-0.2568284153608737,-0.48105446110954264,0.0,-0.18633268402724676,0.25072011599366956,-0.11245528141304542,-0.3645212940507768,0.0,0.19335937831748043,0.22880933831165723,-0.3513786290369417,-0.27543682305214917,0.24414048873831484,0.0,-0.4905323557692307,-0.2980749813328538,0.2804233049559136,-0.5167474364482136,-0.5808173596905363,0.0,-0.2613406982662399
1962,2008-09-16,494760000,11059.019531,1,-0.22934063253105372,0.33200503844037577,0.0,-0.6156253834283001,-0.35720808046342795,-0.5373042387367026,-0.4177775732957254,-0.24957293164194844,-0.45173508947951274,-0.37126184347596847,0.43097134230957823,-0.644661091752768,-0.07098432632612159,-0.4024173388035004,-0.33015729380764164,0.0,0.22890977901687684,-0.13937062161117866,-0.24071417332032322,-0.6236922808211279,0.0,-0.4249707889079451,-0.23676175702101104,-0.4346886851716188,0.0,-0.17649847497835344
1961,2008-09-17,463200000,10609.660156,0,-0.13206759205904944,-0.47018069883967345,-0.07714756222673844,-0.12965799271179707,0.0,-0.1700784470419543,0.0,0.0,-0.2798669217995169,0.0,0.0,-0.3623819755911518,-0.4125319976566361,0.0,0.0,0.2531947090738209,0.0,0.0,0.0,-0.4192238897166271,0.0,0.06451577200272218,0.0,-0.37468708246916127,-0.5483631578225042,-0.37528055667701865
1960,2008-09-18,488060000,11019.69043,1,-0.19704447477903492,-0.3608436444994931,0.0,-0.22275647560418926,-0.43872850578092587,-0.0734030831670412,0.1228116115293089,-0.2034797297431288,-0.5431437159428206,-0.5265550709702197,0.5314794268428463,-0.32880075485203203,-0.4721052448228101,0.0,-0.4853154843647326,0.0,-0.45604752474968896,-0.5937930082502039,0.0,-0.0464428159549374,0.0,0.0,-0.564518090592982,-0.2644697585528233,0.0,0.0
1959,2008-09-19,655110000,11388.44043,1,-0.18276031031772175,-0.3752132992725555,-0.6255983589779786,0.0,0.0,-0.3058028478640607,-0.3988651619207769,0.21451162375636063,-0.29853568973900496,0.0,0.28464911340301785,-0.017154762187088272,-0.2067720804811766,-0.2546687596141622,-0.18014104420306365,0.0,-0.47536404040404046,0.0,-0.5585296626984128,-0.20948730571488008,0.0,-0.4373484955533597,-0.2333514680500659,0.0,0.0,-0.4913355184217957
1958,2008-09-22,213210000,11015.69043,0,-0.1726322082715794,0.0,-0.33136699520926605,-0.06779978196649031,0.07452509781040216,-0.36051567959556546,-0.31738699317168345,-0.47351471038529375,0.0,-0.21195772676598762,-0.33127538317684874,0.048558442840975456,-0.23341724652582777,0.0,-0.23883732914576739,-0.2413112186123056,0.5879186819889048,0.0,-0.3215714712412185,-0.5360326477179381,-0.1780354307742431,-0.4010326715639434,-0.23239619222099198,-0.29947318166754944,0.2156409358055144,-0.4665237054943615
1957,2008-09-23,204480000,10854.169922,0,-0.1167638326280794,-0.4921776153846154,0.0,-0.5195509770487373,0.0,0.281583342067554,0.0,0.0,0.036969706496402154,0.0,-0.20042877311856713,0.0,0.1112899102268187,0.10078558197618553,-0.42611241431023217,-0.40055956362538425,-0.5793685134310135,0.05706413699267933,0.4805182075171206,0.0,-0.5412869186584296,-0.2889426481693364,-0.16627208540252017,0.0,0.0,-0.37260719182990926
1956,2008-09-24,183630000,10825.169922,0,-0.19604849452381273,-0.3071639631709504,0.0,0.0,-0.4818352217365967,-0.7071756312399357,0.0,-0.3983874182146691,-0.0922182944947247,-0.37019417469591814,-0.325440471652232,-0.37192320756436553,-0.38536591790489433,-0.33496785017268416,0.0,-0.48725283735435926,-0.24288831043559161,-0.25133374152116,-0.20535829237858222,0.23645641713501983,0.0,0.39413526465201465,0.0,-0.21210357229695043,0.0,-0.3581951400487384
1955,2008-09-25,218530000,11022.05957,1,-0.1427302876406703,0.0,0.0,-0.48930993808275064,-0.4271837677544956,-0.23504467347001673,0.0,-0.05749171846092045,0.0,-0.3141145544772257,0.0,-0.33918538549313,0.0,-0.29515375408240785,0.0,0.0,-0.2802055743112723,-0.36972657202135245,-0.326244945281402,0.0,-0.43459630758178386,0.0,0.0,0.0,0.0,0.0
